"","SimulationNumber","Node","Community","TrialStatus","DayEnrolled"
"877",14,1756,18,0,56
"878",14,1759,18,0,56
"879",14,1760,18,0,56
"880",14,1761,18,0,56
"881",14,1763,18,0,56
"882",14,1764,18,0,56
"883",14,1766,18,0,56
"884",14,1767,18,0,56
"885",14,1769,18,0,56
"886",14,1770,18,0,56
"887",14,1772,18,0,56
"888",14,1773,18,0,56
"889",14,1778,18,0,56
"890",14,1780,18,0,56
"891",14,1782,18,0,56
"892",14,1785,18,0,56
"893",14,1787,18,0,56
"894",14,1788,18,0,56
"895",14,1790,18,0,56
"896",14,1792,18,0,56
"897",14,1793,18,0,56
"898",14,1795,18,0,56
"899",14,1797,18,0,56
"900",14,1798,18,0,56
"901",14,1801,18,0,56
"902",14,1803,18,0,56
"903",14,1804,18,0,56
"904",14,1805,18,0,56
"905",14,1806,18,0,56
"906",14,1807,18,0,56
"907",14,1814,18,0,56
"908",14,1815,19,1,56
"909",14,1816,19,1,56
"910",14,1817,19,1,56
"911",14,1818,19,1,56
"912",14,1825,19,1,56
"913",14,1827,19,1,56
"914",14,1828,19,1,56
"915",14,1832,19,1,56
"916",14,1833,19,1,56
"917",14,1834,19,1,56
"918",14,1835,19,1,56
"919",14,1836,19,1,56
"920",14,1837,19,1,56
"921",14,1838,19,1,56
"922",14,1839,19,1,56
"923",14,1844,19,1,56
"924",14,1845,19,1,56
"925",14,1847,19,1,56
"926",14,1851,19,1,56
"927",14,1859,19,1,56
"928",14,1860,19,1,56
"929",14,1861,19,1,56
"930",14,1863,19,1,56
"931",14,1865,19,1,56
"932",14,1866,19,1,56
"933",14,1868,19,1,56
"934",14,1869,19,1,56
"935",14,1871,19,1,56
"936",14,1872,19,1,56
"937",14,1875,19,1,56
"938",14,1877,19,1,56
"939",14,1878,19,1,56
"940",14,1879,19,1,56
"941",14,1880,19,1,56
"942",14,1881,19,1,56
"943",14,1887,19,1,56
"944",14,1890,19,1,56
"945",14,1891,19,1,56
"946",14,1892,19,1,56
"947",14,1894,19,1,56
"948",14,1904,20,0,56
"949",14,1907,20,0,56
"950",14,1908,20,0,56
"951",14,1911,20,0,56
"952",14,1912,20,0,56
"953",14,1913,20,0,56
"954",14,1914,20,0,56
"955",14,1915,20,0,56
"956",14,1916,20,0,56
"957",14,1917,20,0,56
"958",14,1918,20,0,56
"959",14,1920,20,0,56
"960",14,1921,20,0,56
"961",14,1922,20,0,56
"962",14,1924,20,0,56
"963",14,1926,20,0,56
"964",14,1928,20,0,56
"965",14,1930,20,0,56
"966",14,1931,20,0,56
"967",14,1932,20,0,56
"968",14,1937,20,0,56
"969",14,1938,20,0,56
"970",14,1939,20,0,56
"971",14,1940,20,0,56
"972",14,1941,20,0,56
"973",14,1942,20,0,56
"974",14,1944,20,0,56
"975",14,1945,20,0,56
"976",14,1947,20,0,56
"977",14,1948,20,0,56
"978",14,1955,20,0,56
"979",14,1956,20,0,56
"980",14,1958,20,0,56
"981",14,1959,20,0,56
"982",14,1960,20,0,56
"983",14,1964,20,0,56
"984",14,1968,20,0,56
"985",14,1969,20,0,56
"986",14,1972,20,0,56
"987",14,1973,20,0,56
"988",14,1974,20,0,56
"989",14,1977,20,0,56
"990",14,1978,20,0,56
"991",14,1979,20,0,56
"992",14,1981,20,0,56
"993",14,1986,20,0,56
"994",14,1987,20,0,56
"995",14,1990,20,0,56
"996",14,1992,20,0,56
"997",14,1994,20,0,56
"998",14,1997,20,0,56
"999",14,1998,20,0,56
"1000",14,1999,21,1,56
"1001",14,2001,21,1,56
"1002",14,2003,21,1,56
"1003",14,2005,21,1,56
"1004",14,2008,21,1,56
"1005",14,2010,21,1,56
"1006",14,2012,21,1,56
"1007",14,2014,21,1,56
"1008",14,2016,21,1,56
"1009",14,2017,21,1,56
"1010",14,2018,21,1,56
"1011",14,2019,21,1,56
"1012",14,2020,21,1,56
"1013",14,2021,21,1,56
"1014",14,2022,21,1,56
"1015",14,2023,21,1,56
"1016",14,2024,21,1,56
