I_t,I_c,R_t,R_c,log_ratios_infect,log_ratios_recover,
2,79,7,99,-3.283414346005772,-2.5257286443082556,
1,21,5,19,-2.3978952727983707,-1.2039728043259361,
6,15,10,23,-0.8266785731844679,-0.7801585575495751,
1,37,0,57,-2.9444389791664407,-4.060443010546419,
5,29,6,47,-1.6094379124341003,-1.9252908618525775,
12,9,14,11,0.26236426446749106,0.22314355131420976,
1,4,6,13,-0.916290731874155,-0.6931471805599453,
0,56,1,62,-4.04305126783455,-3.4499875458315876,
3,13,4,18,-1.252762968495368,-1.3350010667323402,
4,12,12,8,-0.9555114450274363,0.36772478012531734,
2,8,4,7,-1.0986122886681098,-0.4700036292457356,
1,13,6,11,-1.9459101490553135,-0.5389965007326869,
0,51,1,97,-3.951243718581427,-3.891820298110627,
3,21,7,16,-1.7047480922384253,-0.7537718023763802,
1,76,2,83,-3.6506582412937383,-3.332204510175204,
8,20,8,47,-0.8472978603872037,-1.6739764335716716,
10,13,9,28,-0.2411620568168881,-1.0647107369924282,
0,8,2,25,-2.1972245773362196,-2.159484249353372,
4,20,3,26,-1.4350845252893227,-1.9095425048844386,
3,13,1,9,-1.252762968495368,-1.6094379124341003,
1,26,3,59,-2.6026896854443837,-2.70805020110221,
8,9,14,27,-0.10536051565782628,-0.6241543090729939,
3,33,2,44,-2.1400661634962708,-2.70805020110221,
2,2,8,3,0.0,0.8109302162163288,
10,11,11,15,-0.08701137698962981,-0.2876820724517809,
1,55,3,73,-3.332204510175204,-2.917770732084279,
1,37,2,36,-2.9444389791664407,-2.512305623976115,
2,36,8,37,-2.512305623976115,-1.4403615823901665,
7,18,21,38,-0.8649974374866046,-0.5725191927713306,
6,73,13,132,-2.3581549441488563,-2.2512917986064953,
6,54,16,70,-2.0614230361771577,-1.4294665329850993,
0,36,5,53,-3.6109179126442243,-2.1972245773362196,
3,52,5,92,-2.583997552432231,-2.740840023925201,
3,44,4,65,-2.4203681286504293,-2.580216829592325,
1,27,6,24,-2.639057329615259,-1.2729656758128873,
1,11,3,15,-1.791759469228055,-1.3862943611198906,
6,49,14,67,-1.9661128563728327,-1.5114575040738967,
0,18,6,11,-2.9444389791664407,-0.5389965007326869,
4,51,6,57,-2.341805806147327,-2.114532861491106,
2,3,0,11,-0.2876820724517809,-2.4849066497880004,
1,2,6,2,-0.40546510810816444,0.8472978603872037,
6,34,3,53,-1.6094379124341003,-2.6026896854443837,
1,77,7,171,-3.6635616461296463,-3.068052935133617,
0,40,2,70,-3.713572066704308,-3.164067588373206,
0,13,3,17,-2.639057329615259,-1.5040773967762742,
2,72,5,141,-3.1918471524802814,-3.164067588373206,
2,50,11,101,-2.833213344056216,-2.1400661634962708,
9,56,18,61,-1.7404661748405046,-1.1826954058786512,
0,49,2,81,-3.912023005428146,-3.3081069585961433,
4,19,4,21,-1.3862943611198906,-1.4816045409242156,
2,36,3,46,-2.512305623976115,-2.463853240590168,
0,26,0,34,-3.295836866004329,-3.5553480614894135,
4,15,4,16,-1.1631508098056809,-1.2237754316221157,
7,35,27,53,-1.5040773967762742,-0.6567795363890705,
3,53,13,102,-2.6026896854443837,-1.9956716586143772,
4,13,17,19,-1.0296194171811581,-0.10536051565782628,
4,23,7,25,-1.5686159179138452,-1.1786549963416462,
3,70,1,105,-2.8763855159214247,-3.970291913552122,
1,16,4,18,-2.1400661634962708,-1.3350010667323402,
0,66,4,87,-4.204692619390966,-2.867898902044106,
2,55,8,76,-2.9267394020670396,-2.1465808445174646,
0,58,0,58,-4.07753744390572,-4.07753744390572,
1,8,2,12,-1.5040773967762742,-1.466337068793427,
0,30,0,37,-3.4339872044851463,-3.6375861597263857,
2,9,1,14,-1.2039728043259361,-2.0149030205422647,
6,20,4,30,-1.0986122886681098,-1.824549292051046,
9,24,5,30,-0.916290731874155,-1.6422277352570913,
